dataset,task,test_seed,mode,n_test,pos_rate,auc,auc_lo,auc_hi,probe,probe_feature,probe_datarobot,probe_h2o,seconds,inflation_pp,probe_delta
olist,C_product_demand,2018-04-01,join_only,5478,0.397,0.777301,0.7659,0.7882,0.722114,own_days_since_last,silent,silent,5.1,3.2009,0.0
olist,C_product_demand,2018-04-01,naive_nbr,5478,0.397,0.745354,0.7339,0.7585,0.722114,own_days_since_last,silent,silent,4.6,0.0062,0.0
olist,C_product_demand,2018-04-01,both60,5478,0.397,0.948013,0.9405,0.9545,0.952047,own_days_since_last,warning,warning,3.9,20.2721,0.2299
olist,C_product_demand,2018-04-01,delta5,5478,0.397,0.785582,0.7735,0.7971,0.762996,own_days_since_last,silent,silent,3.4,4.029,0.0409
olist,C_product_demand,2018-04-01,delta10,5478,0.397,0.814804,0.8023,0.8247,0.791446,own_days_since_last,silent,silent,4.6,6.9512,0.0693
olist,C_product_demand,2018-04-01,delta15,5478,0.397,0.831987,0.8191,0.8429,0.81772,own_days_since_last,silent,warning,5.3,8.6695,0.0956
olist,C_product_demand,2018-04-01,delta20,5478,0.397,0.855755,0.8424,0.8655,0.843411,own_days_since_last,silent,warning,4.8,11.0463,0.1213
olist,C_product_demand,2018-04-01,delta30,5478,0.397,0.888268,0.8786,0.8989,0.881009,own_days_since_last,silent,warning,4.1,14.2976,0.1589
olist,C_product_demand,2018-04-01,delta45,5478,0.397,0.926144,0.9185,0.9338,0.927203,own_days_since_last,warning,warning,4.5,18.0852,0.2051
olist,C_product_demand,2018-04-01,delta60,5478,0.397,0.948013,0.9405,0.9545,0.952047,own_days_since_last,warning,warning,4.4,20.2721,0.2299
olist,C_product_demand,2018-04-01,delta90,5478,0.397,1.0,1.0,1.0,1.0,own_days_since_last,auto-drop,auto-drop,2.6,25.4708,0.2779
olist,C_product_demand,2018-04-01,nocut,5478,0.397,0.991941,0.9905,0.9934,0.917346,own_days_since_last,silent,warning,5.1,24.6649,0.1952
olist,C_product_demand,2018-07-01,pit,5842,0.331,0.741691,0.7294,0.7544,0.7171,own_days_since_last,silent,silent,4.9,0.0,0.0
olist,C_product_demand,2018-07-01,naive,5842,0.331,0.740733,0.7277,0.7531,0.7171,own_days_since_last,silent,silent,5.4,-0.0958,0.0
olist,C_product_demand,2018-07-01,own_only,5842,0.331,1.0,1.0,1.0,1.0,own_days_since_last,auto-drop,auto-drop,5.3,25.8309,0.2829
olist,C_product_demand,2018-07-01,join_only,5842,0.331,0.772038,0.7606,0.7841,0.7171,own_days_since_last,silent,silent,5.1,3.0347,0.0
olist,C_product_demand,2018-07-01,naive_nbr,5842,0.331,0.74316,0.7304,0.7553,0.7171,own_days_since_last,silent,silent,5.9,0.1469,0.0
olist,C_product_demand,2018-07-01,both60,5842,0.331,1.0,1.0,1.0,1.0,own_days_since_last,auto-drop,auto-drop,4.6,25.8309,0.2829
olist,C_product_demand,2018-07-01,delta5,5842,0.331,0.772038,0.7591,0.7841,0.758203,own_days_since_last,silent,silent,4.7,3.0347,0.0411
olist,C_product_demand,2018-07-01,delta10,5842,0.331,0.791018,0.7801,0.8044,0.780608,own_days_since_last,silent,silent,4.6,4.9327,0.0635
olist,C_product_demand,2018-07-01,delta15,5842,0.331,0.806863,0.7956,0.8188,0.798593,own_days_since_last,silent,silent,3.9,6.5172,0.0815
olist,C_product_demand,2018-07-01,delta20,5842,0.331,0.839853,0.8289,0.8525,0.833321,own_days_since_last,silent,warning,4.3,9.8162,0.1162
olist,C_product_demand,2018-07-01,delta30,5842,0.331,0.889299,0.8786,0.8984,0.884548,own_days_since_last,silent,warning,4.4,14.7608,0.1674
olist,C_product_demand,2018-07-01,delta45,5842,0.331,0.962531,0.956,0.9685,0.960385,own_days_since_last,warning,warning,4.1,22.084,0.2433
olist,C_product_demand,2018-07-01,delta60,5842,0.331,1.0,1.0,1.0,1.0,own_days_since_last,auto-drop,auto-drop,4.3,25.8309,0.2829
olist,C_product_demand,2018-07-01,delta90,5842,0.331,1.0,1.0,1.0,1.0,own_days_since_last,auto-drop,auto-drop,2.9,25.8309,0.2829
olist,C_product_demand,2018-07-01,nocut,5842,0.331,1.0,1.0,1.0,1.0,own_days_since_last,auto-drop,auto-drop,4.3,25.8309,0.2829
