dataset,seed,K,test_of_val_winner,oracle_test,regret
ionosphere,1,10,0.9615018392756085,0.9689848613469156,0.007483022071307133
ionosphere,1,15,0.964146859083192,0.9709797679683079,0.006832908885115896
ionosphere,1,20,0.967617430673458,0.9721774193548386,0.004559988681380633
ionosphere,1,30,0.971150962082626,0.9737662705149971,0.0026153084323711218
ionosphere,1,40,0.9728607809847198,0.9744468024900962,0.001586021505376345
ionosphere,1,50,0.97401740237691,0.9749511884550085,0.0009337860780984641
ionosphere,1,63,0.9753820033955859,0.9753820033955859,0.0
ionosphere,2,3,0.9550864955357143,0.9591559709821428,0.004069475446428439
ionosphere,2,5,0.9608921595982142,0.9678836495535714,0.006991489955357255
ionosphere,2,10,0.9641838727678571,0.974506138392857,0.010322265624999938
ionosphere,2,15,0.9647474888392857,0.9779527064732143,0.013205217633928568
ionosphere,2,20,0.9647391183035715,0.9787046595982142,0.01396554129464267
ionosphere,2,30,0.9647991071428572,0.9812241908482143,0.016425083705357113
ionosphere,2,40,0.9655008370535714,0.9825285993303572,0.01702776227678582
ionosphere,2,50,0.966187220982143,0.9833238002232143,0.01713657924107126
ionosphere,2,63,0.9676339285714286,0.984375,0.016741071428571397
magic,0,3,0.9050485038603245,0.9055795694112547,0.0005310655509301876
magic,0,5,0.9091843604076771,0.9106502071599664,0.0014658467522892238
magic,0,10,0.9107720965939636,0.9131947388123766,0.0024226422184129293
magic,0,15,0.911619545514677,0.9143766096413825,0.0027570641267053997
magic,0,20,0.9118422530335143,0.914940170597358,0.0030979175638436995
magic,0,30,0.9132862297730528,0.9155532803611787,0.0022670505881258185
magic,0,40,0.9143768699986771,0.9159886294229074,0.001611759424230308
magic,0,50,0.9153763148043379,0.9161537803879182,0.0007774655835802724
magic,0,63,0.9156597172379045,0.9163197581632565,0.0006600409253519901
magic,1,3,0.9149468903940887,0.9155668504116338,0.0006199600175450515
magic,1,5,0.9193975077040737,0.9202750445655354,0.0008775368614617474
magic,1,10,0.9211526657781678,0.9224109075904807,0.0012582418123129324
magic,1,15,0.9226082471545541,0.9235566354848508,0.0009483883302966456
magic,1,20,0.9230362836561175,0.9238360100771535,0.0007997264210360955
magic,1,30,0.9237832870807751,0.924237064747959,0.0004537776671839078
magic,1,40,0.9241119227568215,0.9243846722675848,0.0002727495107632816
magic,1,50,0.9241993527453499,0.9244274593989701,0.0002281066536201637
magic,1,63,0.9241907911015141,0.9244354094968176,0.0002446183953034309
magic,2,3,0.9238258273028955,0.9244734203348899,0.0006475930319943535
magic,2,5,0.9272300622605769,0.9282083970153203,0.000978334754743404
magic,2,10,0.9286988855300453,0.9311190860192354,0.0024202004891901163
magic,2,15,0.9285620079598966,0.9320009372862609,0.0034389293263642484
magic,2,20,0.9281265427928881,0.9324207317588052,0.004294188965917156
magic,2,30,0.9276100572504582,0.9331373265105651,0.005527269260106937
magic,2,40,0.9272145710015454,0.9333336816491737,0.0061191106476283785
magic,2,50,0.9272443924668079,0.9334108740686952,0.006166481601887264
magic,2,63,0.9273110580076053,0.9334470461409421,0.006135988133336823
mushroom,0,3,0.9997748990966749,0.999792036645525,1.713754885002139e-05
mushroom,0,5,0.9999991094881158,0.9999995195079763,4.1001986050837047e-07
mushroom,0,10,0.9999997437375874,1.0,2.562624126234425e-07
mushroom,0,15,0.9999996412326223,1.0,3.58767377695024e-07
mushroom,0,20,0.9999995387276571,1.0,4.6127234287762775e-07
mushroom,0,30,0.999999436222692,1.0,5.637773079492092e-07
mushroom,0,40,0.999999538727657,1.0,4.6127234298865005e-07
mushroom,0,50,0.9999997437375874,1.0,2.562624126234425e-07
mushroom,0,63,0.9999996924851047,1.0,3.075148953257667e-07
mushroom,1,3,0.9997630290008814,0.9998388558770473,7.582687616591866e-05
mushroom,1,5,0.9999806156857922,0.9999971173359572,1.650165016497951e-05
mushroom,1,10,0.9999814356435643,1.0,1.856435643565746e-05
mushroom,1,15,0.999977310231023,1.0,2.2689768977013358e-05
mushroom,1,20,0.999983498349835,1.0,1.650165016497951e-05
mushroom,1,30,0.9999628712871288,1.0,3.7128712871203895e-05
mushroom,1,40,0.9999773102310232,1.0,2.2689768976791314e-05
mushroom,1,50,0.9999814356435643,1.0,1.856435643565746e-05
mushroom,1,63,0.9999566831683169,1.0,4.331683168312672e-05
mushroom,2,3,0.9998393939393939,0.9998405759497726,1.1820103786863712e-06
mushroom,2,5,0.9999993433275673,0.9999993433275673,0.0
mushroom,2,10,1.0,1.0,0.0
mushroom,2,15,1.0,1.0,0.0
mushroom,2,20,1.0,1.0,0.0
mushroom,2,30,1.0,1.0,0.0
mushroom,2,40,1.0,1.0,0.0
mushroom,2,50,1.0,1.0,0.0
mushroom,2,63,1.0,1.0,0.0
phoneme,0,3,0.9406502980920259,0.9407359956921691,8.56976001432086e-05
phoneme,0,5,0.9454031956946377,0.945583817552868,0.00018062185823031207
phoneme,0,10,0.9497630538694876,0.9500349278376602,0.0002718739681726312
phoneme,0,15,0.9513386445761755,0.9516982720845766,0.000359627508401128
phoneme,0,20,0.9521285035842016,0.9524846363801877,0.00035613279598600833
phoneme,0,30,0.9533216122890446,0.9536722600066037,0.00035064771755910495
phoneme,0,40,0.9539114356556329,0.9541584879081408,0.00024705225250798435
phoneme,0,50,0.9544912686191799,0.9545755004459038,8.423182672390173e-05
phoneme,0,63,0.954746174331376,0.954746174331376,0.0
phoneme,1,3,0.936188169334763,0.9365844632690034,0.00039629393424034376
phoneme,1,5,0.9431293556824906,0.9438422164608599,0.0007128607783692953
phoneme,1,10,0.9478645871845117,0.9484440932169972,0.0005795060324854662
phoneme,1,15,0.9502568658804106,0.950636769200434,0.00037990332002346694
phoneme,1,20,0.9512780750887313,0.951469863760722,0.00019178867199065586
phoneme,1,30,0.9527815134205859,0.9528980154108748,0.00011650199028889752
phoneme,1,40,0.9538574055074932,0.9539404985273098,8.309301981657136e-05
phoneme,1,50,0.9546482796016962,0.9546740670906046,2.5787488908468603e-05
phoneme,1,63,0.9548749753524602,0.9548749753524602,0.0
phoneme,2,3,0.9278805186369233,0.9285215206396326,0.0006410020027092234
phoneme,2,5,0.9361413707604433,0.9366682083002891,0.0005268375398457259
phoneme,2,10,0.9435078735176403,0.9442151631945839,0.0007072896769435566
phoneme,2,15,0.9465233281696966,0.947252897602612,0.0007295694329153557
phoneme,2,20,0.9484780720296488,0.9491851418405796,0.0007070698109307161
phoneme,2,30,0.9503453670759521,0.9506622480026912,0.00031688092673909374
phoneme,2,40,0.9514610868015592,0.9515417814855849,8.069468402571722e-05
phoneme,2,50,0.951999905110458,0.951999905110458,0.0
phoneme,2,63,0.9521355547258082,0.9521355547258082,0.0
ring,0,3,0.9910862249064875,0.9911706582878679,8.443338138042211e-05
ring,0,5,0.9957702373850775,0.9959709118792388,0.00020067449416127925
ring,0,10,0.9965369160421824,0.996788676844458,0.0002517608022756246
ring,0,15,0.9969178343476136,0.9971183456267331,0.0002005112791194641
ring,0,20,0.9970662768280725,0.9972744176103271,0.00020814078225461774
ring,0,30,0.9973712201316474,0.9975027138501085,0.00013149371846110647
ring,0,40,0.9974859315034474,0.997564524346564,7.859284311650949e-05
ring,0,50,0.9976174508242681,0.9976285046429882,1.1053818720130337e-05
ring,0,63,0.9976369022169087,0.9976369022169087,0.0
ring,1,3,0.9875052580845852,0.9877016281820532,0.0001963700974679794
ring,1,5,0.992157021191073,0.992491631228734,0.0003346100376609984
ring,1,10,0.9948070702195915,0.9952364729933509,0.00042940277375946856
ring,1,15,0.9956864728653392,0.9960483654173568,0.0003618925520175731
ring,1,20,0.9963724240826035,0.996593551661721,0.00022112757911751935
ring,1,30,0.9970349203382584,0.9971295306575453,9.46103192869252e-05
ring,1,40,0.9972944898601855,0.9973964704587175,0.00010198059853194774
ring,1,50,0.9973745804413334,0.997516577527785,0.00014199708645157294
ring,1,63,0.9973629569701145,0.9975856974978814,0.0002227405277669403
ring,2,3,0.9903002548714889,0.9904197154809787,0.00011946060948986315
ring,2,5,0.9933099786476322,0.9935592592213298,0.0002492805736976633
ring,2,10,0.9951979478428733,0.9955083124460751,0.0003103646032017737
ring,2,15,0.9960113860093347,0.9961812192611671,0.0001698332518323964
