dataset,seed,leak,model,val,test,gap,p_single,p_dup,p_cvgap
coil2000,1,предобработка_до_сплита,rf,0.6663725251541708,0.6787496172481493,-0.012377092093978526,,,
coil2000,1,предобработка_до_сплита,hgb,0.6456406199285947,0.6766332246618274,-0.03099260473323273,,,
coil2000,1,предобработка_до_сплита,logit,0.6681170886075949,0.7323889119040329,-0.06427182329643799,,,
coil2000,1,предобработка_до_сплита,__probes__,,,,0.6592968173057873,0.081,-0.047791673786763966
coil2000,2,нет,rf,0.6278841477692323,0.7271024334011779,-0.09921828563194557,,,
coil2000,2,нет,hgb,0.6657180424719467,0.7335686881968335,-0.06785064572488686,,,
coil2000,2,нет,logit,0.7122426556674292,0.7573353266449323,-0.045092670977503135,,,
coil2000,2,нет,__probes__,,,,0.6745123291125561,0.073,0.022844782985820045
coil2000,2,признак_из_цели,rf,0.938444496478683,0.6588915506403213,0.27955294583836166,,,
coil2000,2,признак_из_цели,hgb,0.9535834579153084,0.6410778292116213,0.31250562870368714,,,
coil2000,2,признак_из_цели,logit,0.9502332534807904,0.6639168572920983,0.2863163961886921,,,
coil2000,2,признак_из_цели,__probes__,,,,0.9573974675336371,0.0,0.006898834231695017
coil2000,2,дубликаты,rf,0.7326755931407095,0.7271024334011779,0.005573159739531652,,,
coil2000,2,дубликаты,hgb,0.7539053323937045,0.7335686881968335,0.02033664419687098,,,
coil2000,2,дубликаты,logit,0.7354455406780989,0.7573353266449323,-0.02188978596683344,,,
coil2000,2,дубликаты,__probes__,,,,0.6745123291125561,0.308,0.1002225539720959
coil2000,2,предобработка_до_сплита,rf,0.5941292772688122,0.7354599326356742,-0.14133065536686207,,,
coil2000,2,предобработка_до_сплита,hgb,0.6420992874481246,0.7335686881968335,-0.0914694007487089,,,
coil2000,2,предобработка_до_сплита,logit,0.6292968444131235,0.7641257947729606,-0.1348289503598371,,,
coil2000,2,предобработка_до_сплита,__probes__,,,,0.6745123291125561,0.073,-0.017338717658943237
magic,0,нет,rf,0.9070388062576896,0.9295888573232323,-0.022550051065542642,,,
magic,0,нет,hgb,0.9011125657315744,0.9139879699775533,-0.012875404245978883,,,
magic,0,нет,logit,0.8265343205292678,0.8436360129068461,-0.017101692377578304,,,
magic,0,нет,__probes__,,,,0.7929050400409824,0.0,-0.0038034935215288668
magic,0,признак_из_цели,rf,0.9827554500834096,0.8023989898989898,0.18035646018441975,,,
magic,0,признак_из_цели,hgb,0.9841762591345542,0.8091812219416387,0.17499503719291554,,,
magic,0,признак_из_цели,logit,0.973935049980078,0.708960262345679,0.26497478763439897,,,
magic,0,признак_из_цели,__probes__,,,,0.9434905491021977,0.0,0.010241206687982118
magic,0,дубликаты,rf,0.9473831705584069,0.9295888573232323,0.017794313235174664,,,
magic,0,дубликаты,hgb,0.9450640140164437,0.9139879699775533,0.031076044038890416,,,
magic,0,дубликаты,logit,0.8366439973344044,0.8436360129068461,-0.006992015572441668,,,
magic,0,дубликаты,__probes__,,,,0.7929050400409824,0.25,0.03563413685900618
magic,0,предобработка_до_сплита,rf,0.8174397924012867,0.929032074214366,-0.11159228181307923,,,
magic,0,предобработка_до_сплита,hgb,0.8117974676840651,0.9139046717171716,-0.10210720403310647,,,
magic,0,предобработка_до_сплита,logit,0.7877056017229281,0.871365565375982,-0.08365996365305384,,,
magic,0,предобработка_до_сплита,__probes__,,,,0.7929050400409824,0.0,-0.09291102371686777
magic,1,нет,rf,0.8989408514346011,0.9133700539863655,-0.014429202551764386,,,
magic,1,нет,hgb,0.8912829314640245,0.9059376245123494,-0.014654693048324896,,,
magic,1,нет,logit,0.814432267471135,0.82404297892649,-0.009610711455355081,,,
magic,1,нет,__probes__,,,,0.8035740299570087,0.001,-0.027961666940720553
magic,1,признак_из_цели,rf,0.9701345499603748,0.7837173969201938,0.18641715304018103,,,
magic,1,признак_из_цели,hgb,0.9720347999702265,0.7915942397029655,0.18044056026726096,,,
magic,1,признак_из_цели,logit,0.9656991737853068,0.6884334321404959,0.2772657416448109,,,
magic,1,признак_из_цели,__probes__,,,,0.9393543087160108,0.0,-0.00418716051439183
magic,1,дубликаты,rf,0.9333770062233868,0.9133700539863655,0.020006952237021314,,,
magic,1,дубликаты,hgb,0.9251359318702914,0.9059376245123494,0.019198307357942035,,,
magic,1,дубликаты,logit,0.8193296211376788,0.82404297892649,-0.004713357788811212,,,
magic,1,дубликаты,__probes__,,,,0.8035740299570087,0.25,0.0032211554595872327
magic,1,предобработка_до_сплита,rf,0.804985260399607,0.9127461239716099,-0.10776086357200287,,,
magic,1,предобработка_до_сплита,hgb,0.8021137678785893,0.9059288675998616,-0.10381509972127223,,,
magic,1,предобработка_до_сплита,logit,0.7623015613058195,0.8572010280615259,-0.09489946675570637,,,
magic,1,предобработка_до_сплита,__probes__,,,,0.8035740299570087,0.001,-0.11661479707934819
magic,2,нет,rf,0.91693630659702,0.9217873176206509,-0.004851011023630947,,,
magic,2,нет,hgb,0.9090069223393217,0.9102483164983165,-0.001241394158994824,,,
magic,2,нет,logit,0.8337412595067231,0.838923085016835,-0.005181825510111926,,,
magic,2,нет,__probes__,,,,0.781553892228678,0.0,-0.006503947537862098
magic,2,признак_из_цели,rf,0.9736592072367125,0.7852790053310886,0.18838020190562388,,,
magic,2,признак_из_цели,hgb,0.9753230206093936,0.7943585157126823,0.18096450489671123,,,
magic,2,признак_из_цели,logit,0.9688604191934008,0.6895429994388328,0.27931741975456803,,,
magic,2,признак_из_цели,__probes__,,,,0.9484403938859237,0.0,0.002072565475185306
magic,2,дубликаты,rf,0.9458166372471967,0.9217873176206509,0.024029319626545753,,,
magic,2,дубликаты,hgb,0.9362907416712836,0.9102483164983165,0.026042425172967065,,,
magic,2,дубликаты,logit,0.8487925132817098,0.838923085016835,0.009869428264874802,,,
magic,2,дубликаты,__probes__,,,,0.781553892228678,0.25,0.021191854685549516
magic,2,предобработка_до_сплита,rf,0.7923157203045883,0.9217478605499438,-0.12943214024535554,,,
magic,2,предобработка_до_сплита,hgb,0.7842629456405499,0.9102307800224467,-0.12596783438189685,,,
magic,2,предобработка_до_сплита,logit,0.7567675518276576,0.8673453282828283,-0.11057777645517064,,,
magic,2,предобработка_до_сплита,__probes__,,,,0.781553892228678,0.0,-0.12712043768944725
phoneme,0,нет,rf,0.9449726572209792,0.9403925456557036,0.004580111565275602,,,
phoneme,0,нет,hgb,0.9397168205893037,0.9322576164681429,0.007459204121160856,,,
phoneme,0,нет,logit,0.8134142144209258,0.7948666369719002,0.018547577449025576,,,
phoneme,0,нет,__probes__,,,,0.7111959089685697,0.005,0.008562409323127573
phoneme,0,признак_из_цели,rf,0.9789957742977877,0.7742766690135112,0.2047191052842765,,,
phoneme,0,признак_из_цели,hgb,0.9785416547161513,0.775770986297302,0.20277066841884928,,,
phoneme,0,признак_из_цели,logit,0.9687852540201535,0.6360140044350571,0.3327712495850964,,,
phoneme,0,признак_из_цели,__probes__,,,,0.940412093663088,0.0,0.0005208835016057289
phoneme,0,дубликаты,rf,0.9701095238095239,0.9403925456557036,0.02971697815382024,,,
phoneme,0,дубликаты,hgb,0.9657809523809524,0.9322576164681429,0.03352333591280954,,,
phoneme,0,дубликаты,logit,0.8054238095238095,0.7948666369719002,0.010557172551909355,,,
phoneme,0,дубликаты,__probes__,,,,0.7111959089685697,0.254,0.03301075468892256
phoneme,0,предобработка_до_сплита,rf,0.8340380952380951,0.9402704139546245,-0.10623231871652938,,,
phoneme,0,предобработка_до_сплита,hgb,0.8312452380952381,0.9322145111618796,-0.1009692730666415,,,
phoneme,0,предобработка_до_сплита,logit,0.7135,0.7689268215584005,-0.05542682155840051,,,
phoneme,0,предобработка_до_сплита,__probes__,,,,0.7111959089685697,0.005,-0.10046830410574425
phoneme,1,нет,rf,0.9403566245671509,0.9359165567219259,0.004440067845224993,,,
