model,score_test,score_val,fit_time,dataset,time_limit
CatBoost_r128,0.9248823291376482,0.9376787333472834,5.2605016231536865,magic,900
CatBoost_r49,0.9247514992195843,0.9437992606542511,0.8848586082458496,magic,900
CatBoost_r5,0.9245902437391799,0.939579409918393,1.0261507034301758,magic,900
CatBoost_r70,0.9241551581977113,0.9411487758945385,2.631838083267212,magic,900
CatBoost_r177,0.9233549659081574,0.9408872148985143,1.1139891147613525,magic,900
CatBoost_r50,0.923193710427753,0.9386726651321754,0.9966487884521484,magic,900
CatBoost_r13,0.9228955399168164,0.9374869219501987,4.6865074634552,magic,900
CatBoost_r6,0.9227403695488803,0.9412010880937436,0.9303371906280518,magic,900
CatBoost_r9,0.9226582205305609,0.939178349724489,5.600122451782227,magic,900
CatBoost_r69,0.922521305500029,0.9393004115226338,1.1221327781677246,magic,900
CatBoost_r86,0.9219462623717942,0.9368766129594754,2.6474804878234863,magic,900
CatBoost_r60,0.9216450493046238,0.9384111041361513,1.1192216873168945,magic,900
CatBoost_r12,0.9215050917178577,0.9375217967496687,2.4579882621765137,magic,900
CatBoost_r137,0.9212981978939425,0.9408872148985143,1.4434022903442383,magic,900
LightGBM_r30,0.9212921127814744,0.9346446257934018,1.5413143634796143,magic,900
LightGBM_r188,0.9211065168511977,0.9338425054055939,0.7060160636901855,magic,900
ExtraTreesGini,0.921057835951453,0.9253592104345401,0.5207920074462891,magic,900
ExtraTrees_r49,0.921057835951453,0.9253592104345401,0.5845789909362793,magic,900
LightGBM_r15,0.920726197321942,0.9299190904652297,0.48122382164001465,magic,900
LightGBM_r196,0.9207261973219419,0.9356211201785589,6.83518385887146,magic,900
CatBoost_r163,0.9206014525163461,0.9406779661016949,0.853287935256958,magic,900
LightGBMXT,0.9204158565860694,0.9357954941759085,0.4429645538330078,magic,900
ExtraTreesEntr,0.9201952712591009,0.9252458673362627,0.5531866550445557,magic,900
XGBoost_r31,0.9198043027830262,0.9350282485875706,1.2050752639770508,magic,900
ExtraTrees_r126,0.9189158763626849,0.9237985631582618,0.5665318965911865,magic,900
RandomForestEntr,0.9182769395535352,0.9296749668689405,1.1444518566131592,magic,900
ExtraTrees_r42,0.918260205494248,0.9242519355513705,0.6643035411834717,magic,900
LightGBM_r131,0.9179665988176626,0.9269024203110833,0.7784321308135986,magic,900
ExtraTrees_r197,0.917863151905705,0.9263444235195647,0.7458422183990479,magic,900
LightGBM,0.9173459173459172,0.9269896073097579,0.3761327266693115,magic,900
XGBoost_r49,0.9169412573667892,0.9319243914347491,0.6670541763305664,magic,900
LightGBM_r42,0.9169138743606828,0.9304422124572782,0.4891963005065918,magic,900
CatBoost_r143,0.9167374060991083,0.9385854781335008,1.5833702087402344,magic,900
CatBoost_r167,0.9164635760380441,0.9424217060751899,1.2335665225982666,magic,900
LightGBM_r121,0.9163753419072568,0.9257166771291065,2.136723041534424,magic,900
LightGBM_r161,0.9163327461199802,0.9252284299365279,1.7892725467681885,magic,900
XGBoost_r98,0.9162627673265971,0.9274952919020716,2.202152967453003,magic,900
LightGBM_r96,0.9161897459769801,0.9356036827788241,1.4323554039001465,magic,900
XGBoost,0.9159767670405967,0.9344528143963171,0.44075846672058105,magic,900
LightGBM_r143,0.9159280861408521,0.9249668689405036,1.0472474098205566,magic,900
XGBoost_r33,0.9155264687179581,0.9246181209458044,1.2369818687438965,magic,900
LightGBM_r130,0.9154930005993835,0.9286287228848434,0.37683534622192383,magic,900
XGBoost_r194,0.9154504048121068,0.9331450094161959,0.5181992053985596,magic,900
XGBoost_r95,0.9147475743220423,0.9361965543698123,0.44699907302856445,magic,900
RandomForest_r166,0.9147323615408723,0.9292041570760968,1.1111478805541992,magic,900
RandomForestGini,0.9147323615408723,0.9292041570760968,1.158649206161499,magic,900
LightGBM_r135,0.9146076167352761,0.9303375880588686,0.5292365550994873,magic,900
ExtraTrees_r178,0.914248595099659,0.925141242937853,0.5746114253997803,magic,900
XGBoost_r22,0.9140173608258714,0.9299714026644346,0.41156625747680664,magic,900
LightGBM_r94,0.9138317648955948,0.9314884564413755,0.6182296276092529,magic,900
ExtraTrees_r172,0.9132293387612537,0.9259433633256609,0.6126959323883057,magic,900
XGBoost_r34,0.912785125551083,0.9237636883587919,1.0349652767181396,magic,900
RandomForest_r15,0.9125478061648274,0.9289077212806026,1.8513257503509521,magic,900
XGBoost_r89,0.9120853376172525,0.9335111948106298,0.3434634208679199,magic,900
RandomForest_r39,0.9112395069841879,0.9270593569086978,2.051140069961548,magic,900
LightGBMLarge,0.9097364842045693,0.9175908488526191,1.008110523223877,magic,900
RandomForest_r195,0.9094504839185691,0.9275911976006137,1.940218210220337,magic,900
RandomForest_r127,0.9086168235104406,0.9298667782660249,2.313843011856079,magic,900
RandomForest_r16,0.9078318440020569,0.9277568528980958,2.781702756881714,magic,900
ExtraTrees_r4,0.9020844552759447,0.9092732091790474,0.5564618110656738,magic,900
RandomForest_r34,0.8987619838683669,0.9132838111180861,1.2148220539093018,magic,900
