name,family,holdout,cv,test,dataset,seed
hgb_lr0.1_ln31_l20.0,gbdt,0.932681242807825,0.9265344528083381,0.9775541795665634,ionosphere,2
hgb_lr0.1_ln31_l21.0,gbdt,0.925776754890679,0.929212507237985,0.9779411764705883,ionosphere,2
hgb_lr0.1_ln63_l20.0,gbdt,0.932681242807825,0.9265344528083381,0.9775541795665634,ionosphere,2
hgb_lr0.1_ln63_l21.0,gbdt,0.925776754890679,0.929212507237985,0.9779411764705883,ionosphere,2
hgb_lr0.3_ln15_l20.0,gbdt,0.932681242807825,0.9239287782281412,0.9806501547987616,ionosphere,2
hgb_lr0.3_ln15_l21.0,gbdt,0.9266398158803222,0.9338448176027794,0.9744582043343654,ionosphere,2
hgb_lr0.3_ln31_l20.0,gbdt,0.932681242807825,0.9239287782281412,0.9806501547987616,ionosphere,2
hgb_lr0.3_ln31_l21.0,gbdt,0.9266398158803222,0.9338448176027794,0.9744582043343654,ionosphere,2
hgb_lr0.3_ln63_l20.0,gbdt,0.932681242807825,0.9239287782281412,0.9806501547987616,ionosphere,2
hgb_lr0.3_ln63_l21.0,gbdt,0.9266398158803222,0.9338448176027794,0.9744582043343654,ionosphere,2
knn1_std,knn,0.7941599539700805,0.7820280833815866,0.8537151702786379,ionosphere,2
knn1_quant,knn,0.696921749136939,0.7479371742906775,0.7805727554179567,ionosphere,2
knn5_std,knn,0.9116800920598389,0.9004777070063694,0.8813854489164088,ionosphere,2
knn5_quant,knn,0.8386075949367089,0.878365662999421,0.8521671826625388,ionosphere,2
knn15_std,knn,0.9144131185270425,0.8952663578459756,0.9185371517027864,ionosphere,2
knn15_quant,knn,0.8440736478711163,0.880066589461494,0.8949303405572756,ionosphere,2
knn31_std,knn,0.876150747986191,0.848328025477707,0.8846749226006192,ionosphere,2
knn31_quant,knn,0.7085730724971232,0.7873118123914302,0.8601006191950464,ionosphere,2
svc_C0.1,svm,0.9726697353279631,0.9612767805442964,0.9876160990712074,ionosphere,2
svc_C1,svm,0.9743958573072496,0.9698176027793861,0.9926470588235294,ionosphere,2
svc_C10,svm,0.9795742232451093,0.9651129125651419,0.9829721362229102,ionosphere,2
"mlp_(64,)_a0.0001",mlp,0.9372842347525892,0.9449189345686162,0.9864551083591331,ionosphere,2
"mlp_(64,)_a0.01",mlp,0.937571921749137,0.9447017950202663,0.9864551083591331,ionosphere,2
"mlp_(128, 64)_a0.0001",mlp,0.9663406214039125,0.9544730746960046,0.9674922600619195,ionosphere,2
"mlp_(128, 64)_a0.01",mlp,0.965765247410817,0.9544006948465547,0.9663312693498451,ionosphere,2
gaussiannb,nb,0.9617376294591484,0.9289953676896352,0.9597523219814241,ionosphere,2
dt_d3,tree,0.8463751438434981,0.8614649681528663,0.8782894736842106,ionosphere,2
dt_d6,tree,0.8721231300345225,0.8509698899826288,0.8682275541795667,ionosphere,2
dt_dNone,tree,0.8521288837744533,0.8626954255935148,0.8784829721362228,ionosphere,2
logreg_C0.01_std,linear,0.8408748114630468,0.8072956455309396,0.8813387423935092,sonar,0
logreg_C0.01_quant,linear,0.8800904977375565,0.8013750954927426,0.8671399594320487,sonar,0
logreg_C0.1_std,linear,0.8868778280542986,0.8109243697478992,0.8701825557809331,sonar,0
logreg_C0.1_quant,linear,0.8838612368024132,0.7956455309396486,0.8468559837728193,sonar,0
logreg_C1_std,linear,0.9034690799396682,0.8084415584415585,0.8356997971602435,sonar,0
logreg_C1_quant,linear,0.8107088989441931,0.7807486631016043,0.8306288032454362,sonar,0
logreg_C10_std,linear,0.8944193061840121,0.8172268907563025,0.8275862068965517,sonar,0
logreg_C10_quant,linear,0.7549019607843138,0.7763559969442323,0.8346855983772821,sonar,0
logreg_C100_std,linear,0.8914027149321266,0.8218105423987777,0.8184584178498986,sonar,0
logreg_C100_quant,linear,0.7345399698340874,0.7799847211611918,0.8367139959432048,sonar,0
rf_dNone_fsqrt,rf,0.9144042232277526,0.8411955691367456,0.9756592292089249,sonar,0
rf_dNone_f0.3,rf,0.9223227752639517,0.8293544690603515,0.9528397565922921,sonar,0
rf_dNone_f0.7,rf,0.9117647058823529,0.8256302521008404,0.9513184584178499,sonar,0
rf_d4_fsqrt,rf,0.9064856711915535,0.8454927425515661,0.9614604462474645,sonar,0
rf_d4_f0.3,rf,0.9034690799396682,0.8290679908326968,0.9563894523326572,sonar,0
rf_d4_f0.7,rf,0.9170437405731523,0.8220015278838808,0.949290060851927,sonar,0
rf_d8_fsqrt,rf,0.9144042232277526,0.8413865546218487,0.9756592292089249,sonar,0
rf_d8_f0.3,rf,0.9223227752639517,0.8293544690603515,0.9553752535496958,sonar,0
rf_d8_f0.7,rf,0.9117647058823529,0.8256302521008404,0.9513184584178498,sonar,0
rf_d16_fsqrt,rf,0.9144042232277526,0.8411955691367456,0.9756592292089249,sonar,0
rf_d16_f0.3,rf,0.9223227752639517,0.8293544690603515,0.9528397565922921,sonar,0
rf_d16_f0.7,rf,0.9117647058823529,0.8256302521008404,0.9513184584178499,sonar,0
et_dNone_fsqrt,et,0.9596530920060331,0.8796791443850268,0.9695740365111561,sonar,0
